InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
542969,10026,PASTEL BIRD FEEDER,1,2023-08-03 22:12:40,20.48,12025,Germany
539254,10013,VINTAGE FAIRY LIGHTS,6,2024-03-18 00:20:09,33.34,12458,Germany
545115,10024,RUSTIC SPINNING TOP,1,2024-06-03 06:48:44,13.87,12614,United Kingdom
539392,10198,MODERN BUILDING BLOCKS,9,2023-02-17 02:25:44,29.82,12558,Germany
541241,10003,RETRO CANDLE HOLDER,16,2024-01-05 19:41:56,11.59,12757,United Kingdom
538793,10115,METAL WALL ART,21,2024-12-24 08:13:31,34.6,12797,United Kingdom
537143,10123,PASTEL BAKING TIN,2,2024-03-02 23:03:25,30.66,12367,Netherlands
537782,10201,MODERN NOTEBOOK,9,2023-11-19 13:20:45,27.1,12075,Sweden
540429,10044,MINI BIRD FEEDER,5,2023-01-23 13:20:46,46.5,12059,Switzerland
538684,10131,MINI NIGHT LIGHT,8,2024-05-30 02:14:48,36.15,12159,United Kingdom
543918,10164,PASTEL MUG,6,2024-06-06 15:19:12,8.34,12082,United Kingdom
543925,10151,MODERN TOY CAR,17,2024-11-03 15:30:29,36.95,12191,United Kingdom
545267,10115,METAL WALL ART,14,2024-04-07 17:30:25,34.6,12183,Ireland
537539,10094,METAL WALL CLOCK,15,2023-09-20 13:27:30,2.62,12547,Germany
547179,10044,MINI BIRD FEEDER,11,2024-04-08 20:09:31,46.5,12080,Italy
540122,10131,MINI NIGHT LIGHT,18,2023-05-11 02:21:19,36.15,12753,United Kingdom
538595,10242,VINTAGE STRING LIGHTS,17,2023-01-02 23:04:41,10.85,12638,France
537210,10157,RUSTIC VASE,20,2024-04-21 11:10:52,43.45,12641,Spain
541981,10054,MINI SPINNING TOP,15,2023-07-22 00:59:06,5.49,12081,United Kingdom
545849,10123,PASTEL BAKING TIN,16,2023-02-02 18:03:20,30.66,12202,Germany
539014,10047,MINI WOODEN TOY,18,2023-05-09 04:21:09,11.89,12397,United Kingdom
545413,10093,METAL BIRD FEEDER,2,2024-04-30 17:51:09,1.33,12652,United Kingdom
543487,10045,MODERN TABLE LAMP,5,2024-03-27 02:31:51,16.17,12477,United Kingdom
537115,10199,FLORAL WIND CHIME,24,2023-10-23 21:13:16,49.03,12399,United Kingdom
544250,10230,VINTAGE WIND CHIME,19,2023-11-17 22:20:25,49.97,12160,United Kingdom
542403,10182,FLORAL MUG,9,2023-11-19 03:05:52,44.17,12091,United Kingdom
540765,10067,CLASSIC NIGHT LIGHT,7,2023-11-02 12:46:26,36.15,,Sweden
539908,10224,FLORAL WIND CHIME,9,2024-03-02 18:43:39,22.43,12705,Sweden
545758,10222,FLORAL TABLE LAMP,21,2023-05-18 21:31:57,41.47,12593,United Kingdom
546756,10220,CLASSIC STICKER SET,5,2024-12-20 12:46:39,40.35,12058,Switzerland
546870,10191,MINI PHOTO FRAME,1,2023-03-03 09:40:37,20.72,12594,United Kingdom
542418,10014,MINI NOTEBOOK,8,2024-05-21 21:41:43,43.43,12227,Ireland
544247,10055,STRIPED STRING LIGHTS,24,2024-04-16 19:40:47,21.66,12660,Italy
537011,10144,RUSTIC PLANT POT,6,2024-01-07 00:45:25,8.26,12069,Australia
547076,10077,MINI CAKE STAND,21,2023-07-28 06:19:42,13.9,12435,Ireland
540409,10102,FLORAL PUZZLE,2,2023-05-04 16:32:26,8.67,12111,France
538366,10087,RUSTIC NIGHT LIGHT,7,2023-09-07 02:26:41,14.23,12551,Germany
540328,10020,MINI STICKER SET,3,2023-09-08 09:08:36,34.49,12415,Switzerland
536449,10146,STRIPED SPINNING TOP,7,2023-07-07 22:03:10,27.51,12031,Portugal
540463,10003,RETRO CANDLE HOLDER,14,2023-03-25 21:00:12,11.59,12503,United Kingdom
543586,10201,MODERN NOTEBOOK,10,2024-12-01 19:33:01,27.1,12462,Sweden
538688,10231,PASTEL LANTERN,19,2024-07-29 16:10:00,2.83,12358,United Kingdom
540672,10167,PASTEL PENCIL CASE,24,2024-12-03 12:01:52,30.69,,Germany
536567,10238,FLORAL PHOTO FRAME,14,2024-05-13 20:16:31,16.74,12140,United Kingdom
537840,10020,MINI STICKER SET,9,2024-09-09 00:43:14,34.49,12485,Germany
542625,10235,CLASSIC GREETING CARD,9,2023-08-26 20:11:03,5.99,,USA
545818,10105,FLORAL BUILDING BLOCKS,15,2023-10-04 20:04:35,41.17,12098,Italy
542244,10091,VINTAGE NOTEBOOK,1,2024-04-12 00:45:08,17.24,12477,United Kingdom
544810,10191,MINI PHOTO FRAME,17,2024-06-19 06:32:26,20.72,12720,United Kingdom
544671,10235,CLASSIC GREETING CARD,7,2024-10-23 03:12:29,5.99,12162,United Kingdom
543621,10134,MODERN TEA TOWEL,16,2024-05-05 11:32:12,26.3,12700,Ireland
544624,10009,STRIPED PHOTO FRAME,24,2024-02-13 00:48:00,30.52,12199,Netherlands
540762,10248,WOODEN WALL CLOCK,16,2023-06-14 04:18:53,46.68,,Italy
546159,10243,FLORAL WATERING CAN,11,2023-10-14 22:05:53,22.38,12170,Italy
546181,10145,MODERN PUZZLE,12,2024-07-03 22:54:17,11.36,12118,Spain
542029,10206,WOODEN PHOTO FRAME,1,2024-08-18 07:16:02,6.46,12787,Germany
546188,10147,MINI WOODEN TOY,1,2023-03-29 01:00:53,41.78,12289,Netherlands
C540739,10100,RUSTIC TEA TOWEL,-11,2023-01-25 00:04:28,44.16,12669,France
538137,10039,RETRO WOODEN TOY,16,2024-08-12 08:58:40,46.51,12740,Ireland
541718,10133,RETRO FAIRY LIGHTS,22,2024-06-16 00:30:17,39.1,12619,Germany
544373,10191,MINI PHOTO FRAME,22,2024-10-09 09:05:11,20.72,12070,Canada
C538819,10091,VINTAGE NOTEBOOK,-24,2023-03-31 11:28:53,17.24,12091,United Kingdom
544174,10191,MINI PHOTO FRAME,10,2023-03-24 03:40:15,20.72,12604,Netherlands
539594,10036,CLASSIC PHOTO FRAME,23,2023-04-22 03:11:27,25.8,12083,United Kingdom
543894,10194,STRIPED NIGHT LIGHT,3,2024-09-05 12:40:04,18.14,12063,Netherlands
539394,10234,WOODEN WOODEN TOY,2,2023-08-05 10:35:46,17.95,,Ireland
542841,10007,STRIPED BAKING TIN,12,2023-06-12 13:16:08,14.5,12318,Spain
540634,10082,STRIPED WALL CLOCK,5,2023-10-03 13:53:03,14.85,12593,United Kingdom
537923,10141,METAL CAKE STAND,8,2023-02-28 13:07:26,24.66,12718,Ireland
542041,10093,METAL BIRD FEEDER,15,2024-04-29 12:43:51,1.33,12528,France
540055,10112,CERAMIC GREETING CARD,9,2024-10-27 02:09:51,30.64,12520,France
539585,10083,MODERN TOY CAR,11,2023-01-17 06:48:35,15.72,12255,Belgium
544149,10028,RUSTIC CANDLE HOLDER,6,2023-01-14 15:51:45,31.68,12583,Germany
539226,10202,VINTAGE NOTEBOOK,9,2023-11-20 04:13:13,28.04,12636,France
537903,10051,RETRO PHOTO FRAME,18,2024-03-15 14:37:22,26.12,12360,Belgium
538563,10099,MODERN TOY CAR,5,2023-11-26 15:28:14,8.44,12720,United Kingdom
537798,10084,VINTAGE NIGHT LIGHT,7,2024-06-14 08:22:03,33.67,12278,Ireland
540283,10059,RUSTIC BIRD FEEDER,5,2023-01-29 00:42:07,21.58,12555,France
539884,10080,RETRO PLANT POT,16,2024-12-02 23:03:40,27.27,12310,Belgium
544648,10194,STRIPED NIGHT LIGHT,2,2024-09-23 20:52:37,18.14,12122,Belgium
544806,10151,MODERN TOY CAR,3,2024-04-10 17:20:26,36.95,12602,Netherlands
537326,10085,CLASSIC GARDEN SIGN,8,2023-12-15 11:27:26,5.94,12408,United Kingdom
536897,10040,VINTAGE PENCIL CASE,24,2023-11-04 09:18:32,12.69,12099,Norway
544731,10234,WOODEN WOODEN TOY,1,2024-01-26 17:11:54,17.95,12793,United Kingdom
545869,10010,METAL VASE,15,2024-02-18 07:12:11,6.98,12400,United Kingdom
537799,10056,CLASSIC WOODEN TOY,4,2024-07-05 01:22:17,32.96,12425,United Kingdom
546323,10181,FLORAL NIGHT LIGHT,11,2023-02-24 19:48:51,16.69,12212,Germany
546122,10094,METAL WALL CLOCK,24,2023-02-23 03:50:13,2.62,12484,Germany
545762,10175,RETRO LANTERN,5,2023-10-10 05:24:36,25.71,12460,Switzerland
537669,10151,MODERN TOY CAR,4,2023-12-21 15:59:09,36.95,12327,Spain
540251,10234,WOODEN WOODEN TOY,22,2023-08-04 03:51:00,17.95,12312,France
541222,10048,PASTEL NOTEBOOK,18,2024-05-24 18:04:11,28.07,12350,Ireland
544796,10031,CLASSIC PLANT POT,19,2023-02-17 01:11:57,36.27,12571,United Kingdom
546088,10066,CERAMIC BUILDING BLOCKS,3,2023-07-30 01:40:45,35.08,12718,Ireland
537585,10216,RUSTIC PLANT POT,1,2023-07-19 04:17:15,0.98,12714,Italy
545337,10106,VINTAGE TEA TOWEL,15,2024-11-22 13:28:20,33.28,12427,Norway
539764,10074,PASTEL WATERING CAN,8,2023-09-23 07:59:48,30.06,12166,USA
540836,10000,VINTAGE FAIRY LIGHTS,4,2023-01-10 18:37:47,37.29,12019,France
543831,10197,MINI WATERING CAN,13,2024-03-06 01:29:40,11.48,12553,Belgium
536929,10007,STRIPED BAKING TIN,16,2024-12-07 00:37:52,14.5,12382,Ireland
538142,10095,METAL STICKER SET,21,2024-02-15 08:27:09,8.13,12633,USA
536699,10220,CLASSIC STICKER SET,14,2023-05-14 11:03:48,40.35,12011,Germany
544120,10249,MODERN STICKER SET,24,2024-12-12 11:50:29,14.29,12401,Australia
537069,10042,RUSTIC WALL ART,1,2024-01-27 05:39:25,7.16,12090,Ireland
542275,10045,MODERN TABLE LAMP,7,2024-09-15 13:14:13,16.17,,Spain
539567,10125,WOODEN LUNCH BOX,13,2024-12-17 17:45:43,39.85,12520,France
538862,10146,STRIPED SPINNING TOP,16,2023-08-30 19:27:03,27.51,12152,Norway
538599,10162,MINI PHOTO FRAME,2,2024-04-08 15:34:01,32.8,12289,Netherlands
542014,10249,MODERN STICKER SET,20,2023-05-31 21:25:28,14.29,,United Kingdom
541090,10111,RETRO NOTEBOOK,17,2023-10-17 08:53:33,30.17,12618,Italy
542897,10137,METAL NIGHT LIGHT,21,2023-09-27 02:30:52,30.11,12450,United Kingdom
542849,10000,VINTAGE FAIRY LIGHTS,15,2023-06-26 19:07:17,37.29,12235,United Kingdom
537940,10181,FLORAL NIGHT LIGHT,5,2023-08-23 04:53:16,16.69,12301,Germany
539572,10116,STRIPED TABLE LAMP,9,2023-04-12 06:55:59,22.04,12541,United Kingdom
537193,10034,MODERN WOODEN TOY,9,2023-02-19 05:17:23,43.89,12050,Germany
544727,10016,STRIPED PENCIL CASE,12,2023-11-09 03:30:11,18.31,12652,United Kingdom
538139,10068,FLORAL TEA TOWEL,12,2024-11-19 20:54:23,11.55,12186,United Kingdom
541027,10145,MODERN PUZZLE,9,2023-03-07 06:02:01,11.36,12545,Italy
544170,10195,FLORAL BUILDING BLOCKS,22,2023-09-07 11:39:43,13.2,12623,United Kingdom
542346,10135,MINI WALL ART,21,2023-12-28 01:52:15,45.93,12751,Norway
542210,10002,RETRO NIGHT LIGHT,6,2023-04-05 05:02:47,29.87,12424,France
546886,10049,VINTAGE WATERING CAN,2,2023-01-22 19:22:53,4.34,12322,USA
543780,10111,RETRO NOTEBOOK,15,2023-08-04 05:43:51,30.17,12152,Norway
540857,10023,MINI GARDEN SIGN,14,2024-01-27 18:04:43,33.06,12343,United Kingdom
543029,10243,FLORAL WATERING CAN,22,2024-05-13 06:08:54,22.38,12362,Ireland
537508,10094,METAL WALL CLOCK,6,2024-08-30 23:38:04,2.62,12484,Germany
538095,10191,MINI PHOTO FRAME,19,2023-10-04 01:09:32,20.72,12588,United Kingdom
539439,10118,METAL PHOTO FRAME,21,2023-06-19 01:35:42,16.05,12631,Spain
542191,10238,FLORAL PHOTO FRAME,9,2024-07-10 00:46:28,16.74,12701,Germany
537059,10043,RUSTIC TOY CAR,24,2024-11-26 04:27:58,13.87,12574,France
546555,10228,PASTEL LANTERN,20,2024-06-29 13:36:39,13.15,12291,Spain
537116,10240,CERAMIC BIRD FEEDER,7,2024-07-28 06:40:44,3.51,12545,Italy
543263,10024,RUSTIC SPINNING TOP,7,2023-03-09 09:36:30,13.87,,United Kingdom
537939,10023,MINI GARDEN SIGN,1,2023-12-30 01:01:36,33.06,12630,Germany
540175,10005,CERAMIC NIGHT LIGHT,1,2023-07-19 02:11:44,11.68,12613,United Kingdom
543776,10010,METAL VASE,21,2023-04-14 03:17:31,6.98,,Portugal
541462,10170,CERAMIC BIRD FEEDER,3,2023-05-09 13:22:34,47.11,12569,Italy
539793,10048,PASTEL NOTEBOOK,19,2023-10-02 19:37:00,28.07,12458,Germany
537226,10100,RUSTIC TEA TOWEL,12,2024-10-15 13:28:40,44.16,12427,Norway
545699,10182,FLORAL MUG,7,2023-10-07 13:59:24,44.17,12721,United Kingdom
543051,10094,METAL WALL CLOCK,12,2023-08-28 19:03:43,2.62,12284,Canada
538519,10209,RETRO GARDEN SIGN,13,2024-04-11 16:12:38,49.69,12385,United Kingdom
544944,10183,PASTEL BAKING TIN,20,2024-08-18 18:38:52,30.84,,United Kingdom
545492,10009,STRIPED PHOTO FRAME,16,2023-01-18 13:59:27,30.52,12796,Norway
539133,10226,METAL STICKER SET,6,2024-07-03 00:26:48,25.12,12674,United Kingdom
541306,10012,STRIPED NIGHT LIGHT,8,2023-04-08 20:29:18,29.22,12142,Ireland
C539924,10102,FLORAL PUZZLE,-15,2023-06-25 07:19:27,8.67,,Switzerland
538111,10079,WOODEN CANDLE HOLDER,22,2023-05-01 14:10:24,31.37,12498,United Kingdom
536647,10064,VINTAGE BAKING TIN,12,2024-02-11 07:08:33,8.94,12254,United Kingdom
541925,10130,RETRO TOY CAR,1,2024-12-28 13:08:14,23.23,12224,Germany
541507,10100,RUSTIC TEA TOWEL,6,2023-02-12 20:39:12,44.16,12640,Germany
